latitude,longitude,velocity,direction,distance,dir_diff
35.1078949,129.0971985,2.0,193.0,5.685952524307654,193.0
35.1078911,129.0971985,1.0,204.0,0.42254130429471776,11.0
35.1078911,129.0971985,0.0,0.0,0.0,-204.0
35.1078873,129.0972443,1.0,165.0,0.0,165.0
35.1078796,129.0972443,3.0,179.0,0.856202118495798,14.0
35.1078682,129.0972443,5.0,178.0,1.2676239142988015,-1.0
35.1078529,129.0972443,5.0,181.0,1.7012847277925576,3.0
35.1078339,129.0972443,9.0,177.0,2.112706523595561,-4.0
35.107811,129.0972443,10.0,179.0,2.5463673377966414,2.0
35.1077805,129.0972443,12.0,182.0,3.3914499470934008,3.0
35.1077499,129.0972443,12.0,178.0,3.402569454877791,-4.0
35.1077232,129.097229,12.0,183.0,3.278940689247623,5.0
35.1076889,129.097229,12.0,183.0,3.813991252802767,0.0
35.1076546,129.097229,12.0,183.0,3.813991252095443,0.0
35.1076279,129.0972137,12.0,185.0,3.278941380023577,2.0
35.1075974,129.0972137,12.0,186.0,3.3914499463860768,1.0
35.1075668,129.0972137,12.0,185.0,3.402569455585115,-1.0
35.1075325,129.0972137,13.0,183.0,3.813991252095443,-2.0
35.1074982,129.0972137,13.0,182.0,3.813991251388119,-1.0
35.1074638,129.0972137,13.0,176.0,3.8251107605871573,-6.0
35.1074295,129.0972137,15.0,176.0,3.813991251388119,0.0
35.1073914,129.0972137,17.0,176.0,4.236532557804809,0.0
35.107338,129.0972137,18.0,174.0,5.937817284182718,-2.0
35.1072998,129.0972137,18.0,174.0,4.2476520648818745,0.0
35.1072502,129.097229,18.0,174.0,5.68817409934794,0.0
35.1071968,129.097229,18.0,175.0,5.937817284890042,1.0
35.1071587,129.097229,18.0,174.0,4.236532557097485,-1.0
35.1071014,129.0972443,18.0,174.0,6.521717219966216,0.0
35.1070671,129.0972443,17.0,174.0,3.813991251388119,0.0
35.1070213,129.0972443,17.0,173.0,5.092734674885959,-1.0
35.1069756,129.0972595,17.0,173.0,5.26636904271326,0.0
35.1069336,129.0972595,17.0,172.0,4.670193369883917,-1.0
35.1068878,129.0972748,17.0,173.0,5.279490433384171,1.0
35.106842,129.0972748,17.0,174.0,5.092734675593283,1.0
35.1068001,129.0972748,17.0,175.0,4.659073861392202,1.0
35.1067543,129.09729,17.0,175.0,5.277100248901577,0.0
35.1066933,129.09729,17.0,175.0,6.7828998934794775,0.0
35.1066666,129.09729,17.0,175.0,2.968908643506007,0.0
35.1066132,129.09729,17.0,175.0,5.937817284182718,0.0
35.1065788,129.0973053,17.0,174.0,4.070449613845946,-1.0
35.1065331,129.0973053,17.0,173.0,5.081615166394244,-1.0
35.1064873,129.0973053,17.0,172.0,5.092734674885959,-1.0
35.1064339,129.0973206,17.0,172.0,6.09875136974048,0.0
35.1063995,129.0973206,17.0,173.0,3.825110759879833,1.0
35.1063461,129.0973358,17.0,173.0,6.096682183539974,0.0
35.1063118,129.0973358,17.0,174.0,3.813991252802767,1.0
35.1062698,129.0973511,17.0,173.0,4.873172308967363,-1.0
35.1062241,129.0973511,17.0,176.0,5.081615166394244,3.0
35.1061707,129.0973511,17.0,176.0,5.937817284890042,0.0
