reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
32,35.1059265,129.0958862,11,11,173,4,12,YT366,S01228431838,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,TCNU8437029-19,L,1D,11,5,4,380,348
266,35.1059036,129.0958862,11,11,174,4,12,YT366,S01228431838,2021-10-31T19:08:51Z,2021-11-01T05:22:11Z,TCNU8437029-19,L,1D,11,5,4,380,348
491,35.1058655,129.0958862,11,11,173,4,12,YT366,S01228431838,2021-10-31T19:08:52Z,2021-11-01T05:22:12Z,TCNU8437029-19,L,1D,11,5,4,380,347
740,35.1058464,129.0959015,11,11,174,4,12,YT366,S01228431838,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,TCNU8437029-19,L,1D,11,5,4,381,346
962,35.1058121,129.0959015,11,11,175,4,12,YT366,S01228431838,2021-10-31T19:08:54Z,2021-11-01T05:22:15Z,TCNU8437029-19,L,1D,11,5,4,381,346
1224,35.1057892,129.0959015,11,11,174,4,12,YT366,S01228431838,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,TCNU8437029-19,L,1D,11,5,4,381,345
1408,35.1057587,129.0959015,11,11,175,4,12,YT366,S01228431838,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,TCNU8437029-19,L,1D,11,5,4,381,344
1697,35.105732,129.0959015,11,11,176,4,12,YT366,S01228431838,2021-10-31T19:08:57Z,2021-11-01T05:22:20Z,TCNU8437029-19,L,1D,11,5,4,381,344
1909,35.1057014,129.0959167,11,11,175,4,12,YT366,S01228431838,2021-10-31T19:08:58Z,2021-11-01T05:22:21Z,TCNU8437029-19,L,1D,11,5,4,381,343
2144,35.1056709,129.0959167,11,10,173,4,12,YT366,S01228431838,2021-10-31T19:08:59Z,2021-11-01T05:22:22Z,TCNU8437029-19,L,1D,11,5,4,381,342
