reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
39,35.1071091,129.0941772,11,10,27,4,12,YT374,S01228451528,2021-10-31T19:08:49Z,2021-11-01T05:22:09Z,"","","",,,,350,376
76,35.1071129,129.0941772,11,10,26,4,12,YT374,S01228451528,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,"","","",,,,350,376
335,35.1071358,129.0941925,11,10,26,4,12,YT374,S01228451528,2021-10-31T19:08:51Z,2021-11-01T05:22:11Z,"","","",,,,350,377
526,35.1071663,129.0942078,11,10,24,4,12,YT374,S01228451528,2021-10-31T19:08:52Z,2021-11-01T05:22:12Z,"","","",,,,350,377
801,35.1071854,129.094223,11,10,24,4,12,YT374,S01228451528,2021-10-31T19:08:53Z,2021-11-01T05:22:14Z,"","","",,,,351,378
1043,35.1072083,129.0942383,11,10,23,4,12,YT374,S01228451528,2021-10-31T19:08:54Z,2021-11-01T05:22:15Z,"","","",,,,351,378
1276,35.107235,129.0942535,11,10,21,4,12,YT374,S01228451528,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,"","","",,,,351,379
1469,35.1072578,129.0942535,11,11,19,4,12,YT374,S01228451528,2021-10-31T19:08:56Z,2021-11-01T05:22:18Z,"","","",,,,351,380
1736,35.1072845,129.0942688,11,10,19,4,12,YT374,S01228451528,2021-10-31T19:08:57Z,2021-11-01T05:22:20Z,"","","",,,,351,380
1933,35.1073112,129.0942841,11,11,21,4,12,YT374,S01228451528,2021-10-31T19:08:58Z,2021-11-01T05:22:21Z,"","","",,,,352,381
2201,35.107338,129.0942993,11,11,16,4,12,YT374,S01228451528,2021-10-31T19:08:59Z,2021-11-01T05:22:22Z,"","","",,,,352,381
2535,35.1073723,129.0942993,11,11,12,4,12,YT374,S01228451528,2021-10-31T19:09:00Z,2021-11-01T05:22:24Z,"","","",,,,352,382
