reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
396021,35.1107941,129.0948334,11,0,0,5,12,YT303,S01228451506,2021-10-31T17:07:55Z,2021-11-01T05:51:10Z,,,,,,,361,462
396079,35.1107941,129.0948639,10,0,0,5,6,YT303,S01228451506,2021-10-31T19:35:26Z,2021-11-01T05:51:11Z,,,,,,,362,462
396131,35.1107941,129.0948639,10,0,0,5,6,YT303,S01228451506,2021-10-31T19:35:27Z,2021-11-01T05:51:11Z,,,,,,,362,462
396456,35.1107941,129.0948486,11,0,0,5,6,YT303,S01228451506,2021-10-31T19:35:28Z,2021-11-01T05:51:12Z,,,,,,,362,462
396669,35.1107941,129.0948486,11,0,0,5,6,YT303,S01228451506,2021-10-31T19:35:29Z,2021-11-01T05:51:13Z,,,,,,,362,462
396935,35.1107941,129.0948486,12,0,0,5,7,YT303,S01228451506,2021-10-31T19:35:30Z,2021-11-01T05:51:14Z,,,,,,,362,462
397201,35.1107941,129.0948486,12,0,0,5,7,YT303,S01228451506,2021-10-31T19:35:31Z,2021-11-01T05:51:15Z,,,,,,,362,462
397467,35.1107941,129.0948334,13,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:32Z,2021-11-01T05:51:16Z,,,,,,,361,462
397782,35.1107979,129.0948181,14,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:33Z,2021-11-01T05:51:18Z,,,,,,,361,462
397987,35.1107979,129.0948181,15,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:34Z,2021-11-01T05:51:18Z,,,,,,,361,462
398265,35.1107979,129.0948181,15,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:35Z,2021-11-01T05:51:19Z,,,,,,,361,462
398520,35.1107979,129.0948029,16,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:36Z,2021-11-01T05:51:21Z,,,,,,,361,462
398797,35.1107979,129.0948029,16,0,0,5,8,YT303,S01228451506,2021-10-31T19:35:37Z,2021-11-01T05:51:22Z,,,,,,,361,462
399062,35.1107979,129.0948029,17,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:38Z,2021-11-01T05:51:23Z,,,,,,,361,462
399369,35.1107979,129.0948029,17,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:39Z,2021-11-01T05:51:24Z,,,,,,,361,462
399582,35.1107979,129.0948029,17,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:40Z,2021-11-01T05:51:25Z,,,,,,,361,462
399914,35.1107979,129.0947876,18,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:41Z,2021-11-01T05:51:26Z,,,,,,,361,462
400180,35.1107941,129.0947876,18,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:42Z,2021-11-01T05:51:27Z,,,,,,,361,462
400393,35.1107941,129.0947876,18,0,0,5,9,YT303,S01228451506,2021-10-31T19:35:43Z,2021-11-01T05:51:28Z,,,,,,,361,462
