reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
35,35.0988274,129.0965271,11,22,174,4,12,YT340,S01228451326,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,SEGU6492231-11,U,3C,15,4,2,392,182
142,35.0988159,129.0965271,11,22,176,4,12,YT340,S01228451326,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,SEGU6492231-11,U,3C,15,4,2,392,182
353,35.0987587,129.0965271,11,22,175,4,12,YT340,S01228451326,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,SEGU6492231-11,U,3C,15,4,2,392,181
549,35.0987015,129.0965424,11,23,174,4,12,YT340,S01228451326,2021-10-31T19:08:53Z,2021-11-01T05:22:12Z,SEGU6492231-11,U,3C,15,4,2,392,179
781,35.0986443,129.0965424,11,23,174,4,12,YT340,S01228451326,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,SEGU6492231-11,U,3C,15,4,2,392,178
1057,35.098587,129.0965576,11,23,174,4,12,YT340,S01228451326,2021-10-31T19:08:55Z,2021-11-01T05:22:15Z,SEGU6492231-11,U,3C,15,4,2,392,176
1295,35.0985298,129.0965576,11,22,174,5,12,YT340,S01228451326,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,SEGU6492231-11,U,3C,15,4,2,392,175
1541,35.0984612,129.0965576,11,22,175,2,12,YT340,S01228451326,2021-10-31T19:08:57Z,2021-11-01T05:22:18Z,SEGU6492231-11,U,3C,15,4,2,392,174
1759,35.0984154,129.0965729,11,23,174,5,12,YT340,S01228451326,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,SEGU6492231-11,U,3C,15,4,2,392,172
2007,35.0983582,129.0965729,11,23,173,5,12,YT340,S01228451326,2021-10-31T19:08:59Z,2021-11-01T05:22:21Z,SEGU6492231-11,U,3C,15,4,2,392,171
2290,35.0982895,129.0965881,11,22,174,5,12,YT340,S01228451326,2021-10-31T19:09:00Z,2021-11-01T05:22:23Z,SEGU6492231-11,U,3C,15,4,2,393,170
2400,35.0982552,129.0965881,11,22,173,5,12,YT340,S01228451326,2021-10-31T19:09:01Z,2021-11-01T05:22:23Z,SEGU6492231-11,U,3C,15,4,2,393,169
2779,35.0981865,129.0966034,11,23,174,5,12,YT340,S01228451326,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,SEGU6492231-11,U,3C,15,4,2,393,167
2959,35.0981293,129.0966034,11,22,174,5,12,YT340,S01228451326,2021-10-31T19:09:03Z,2021-11-01T05:22:26Z,SEGU6492231-11,U,3C,15,4,2,393,166
3187,35.0980606,129.0966187,11,21,174,5,12,YT340,S01228451326,2021-10-31T19:09:04Z,2021-11-01T05:22:27Z,SEGU6492231-11,U,3C,15,4,2,393,164
3381,35.0980148,129.0966187,11,21,174,5,12,YT340,S01228451326,2021-10-31T19:09:05Z,2021-11-01T05:22:28Z,SEGU6492231-11,U,3C,15,4,2,393,163
3654,35.0979614,129.0966339,11,21,175,5,12,YT340,S01228451326,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,SEGU6492231-11,U,3C,15,4,2,394,162
3900,35.097908,129.0966339,11,22,175,5,12,YT340,S01228451326,2021-10-31T19:09:07Z,2021-11-01T05:22:31Z,SEGU6492231-11,U,3C,15,4,2,394,161
4155,35.0978508,129.0966339,11,21,175,5,12,YT340,S01228451326,2021-10-31T19:09:08Z,2021-11-01T05:22:32Z,SEGU6492231-11,U,3C,15,4,2,394,159
4358,35.0977974,129.0966492,11,21,174,5,12,YT340,S01228451326,2021-10-31T19:09:09Z,2021-11-01T05:22:51Z,SEGU6492231-11,U,3C,15,4,2,394,158
4629,35.097744,129.0966492,11,22,174,5,12,YT340,S01228451326,2021-10-31T19:09:10Z,2021-11-01T05:22:53Z,SEGU6492231-11,U,3C,15,4,2,394,157
4827,35.0976868,129.0966492,11,23,174,5,12,YT340,S01228451326,2021-10-31T19:09:11Z,2021-11-01T05:22:54Z,SEGU6492231-11,U,3C,15,4,2,394,155
5111,35.0976257,129.0966644,11,23,174,5,12,YT340,S01228451326,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,SEGU6492231-11,U,3C,15,4,2,394,154
5328,35.0975685,129.0966644,11,22,173,5,12,YT340,S01228451326,2021-10-31T19:09:13Z,2021-11-01T05:22:57Z,SEGU6492231-11,U,3C,15,4,2,394,153
5589,35.0975151,129.0966797,11,21,174,5,12,YT340,S01228451326,2021-10-31T19:09:14Z,2021-11-01T05:22:58Z,SEGU6492231-11,U,3C,15,4,2,394,151
5799,35.0974731,129.0966797,11,21,173,5,12,YT340,S01228451326,2021-10-31T19:09:15Z,2021-11-01T05:23:00Z,SEGU6492231-11,U,3C,15,4,2,394,150
6051,35.0974083,129.0966949,11,20,175,2,12,YT340,S01228451326,2021-10-31T19:09:16Z,2021-11-01T05:23:01Z,SEGU6492231-11,U,3C,15,4,2,395,149
