reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
28,35.0979309,129.0953369,11,21,174,5,12,YT377,S01228451462,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,"","","",,,,370,161
182,35.0978966,129.0953369,11,22,173,5,12,YT377,S01228451462,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,"","","",,,,370,160
403,35.0978432,129.0953522,11,22,173,5,12,YT377,S01228451462,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,"","","",,,,371,159
652,35.0977859,129.0953522,11,22,171,5,12,YT377,S01228451462,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,"","","",,,,371,158
888,35.0977325,129.0953674,11,21,170,5,12,YT377,S01228451462,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,"","","",,,,371,156
1141,35.0976791,129.0953827,11,21,171,5,12,YT377,S01228451462,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,"","","",,,,371,155
1338,35.0976257,129.0953979,11,20,172,5,12,YT377,S01228451462,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,"","","",,,,372,154
1602,35.0975723,129.0953979,11,20,174,5,12,YT377,S01228451462,2021-10-31T19:08:57Z,2021-11-01T05:22:19Z,"","","",,,,372,153
1845,35.0975075,129.0954132,11,19,172,5,12,YT377,S01228451462,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,"","","",,,,372,151
2070,35.0974693,129.0954132,11,20,173,5,12,YT377,S01228451462,2021-10-31T19:08:59Z,2021-11-01T05:22:22Z,"","","",,,,372,150
2247,35.0974197,129.0954285,11,19,174,5,12,YT377,S01228451462,2021-10-31T19:09:00Z,2021-11-01T05:22:22Z,"","","",,,,372,149
2557,35.0973701,129.0954285,11,19,173,5,12,YT377,S01228451462,2021-10-31T19:09:01Z,2021-11-01T05:22:24Z,"","","",,,,372,148
2754,35.0973091,129.0954285,11,19,175,4,12,YT377,S01228451462,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,"","","",,,,372,147
3021,35.0972595,129.0954437,11,19,174,4,12,YT377,S01228451462,2021-10-31T19:09:03Z,2021-11-01T05:22:27Z,"","","",,,,372,145
3244,35.0972176,129.0954437,11,19,174,4,12,YT377,S01228451462,2021-10-31T19:09:04Z,2021-11-01T05:22:28Z,"","","",,,,372,144
3458,35.097168,129.0954437,11,19,175,4,12,YT377,S01228451462,2021-10-31T19:09:05Z,2021-11-01T05:22:29Z,"","","",,,,372,143
3679,35.0971184,129.095459,11,20,174,4,12,YT377,S01228451462,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,"","","",,,,373,142
3942,35.0970726,129.095459,11,19,174,5,12,YT377,S01228451462,2021-10-31T19:09:07Z,2021-11-01T05:22:31Z,"","","",,,,373,141
4141,35.097023,129.0954742,11,19,175,4,12,YT377,S01228451462,2021-10-31T19:09:08Z,2021-11-01T05:22:32Z,"","","",,,,373,140
4421,35.0969734,129.0954742,11,19,173,4,12,YT377,S01228451462,2021-10-31T19:09:09Z,2021-11-01T05:22:51Z,"","","",,,,373,139
4667,35.09692,129.0954742,11,19,174,4,12,YT377,S01228451462,2021-10-31T19:09:10Z,2021-11-01T05:22:53Z,"","","",,,,373,137
4937,35.0968704,129.0954895,11,19,172,4,12,YT377,S01228451462,2021-10-31T19:09:11Z,2021-11-01T05:22:55Z,"","","",,,,373,136
5127,35.0968246,129.0954895,11,19,171,4,12,YT377,S01228451462,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,"","","",,,,373,135
