reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
12,35.0959282,129.0951843,11,4,345,4,12,YT343,S01228451461,2021-10-31T19:08:51Z,2021-11-01T05:22:09Z,SZLU9369076-5,L,3R,19,6,2,368,114
267,35.0959396,129.0951843,11,4,347,4,12,YT343,S01228451461,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,SZLU9369076-5,L,3R,19,6,2,368,114
460,35.0959511,129.0951691,11,4,343,4,12,YT343,S01228451461,2021-10-31T19:08:53Z,2021-11-01T05:22:12Z,SZLU9369076-5,L,3R,19,6,2,367,115
697,35.0959587,129.0951691,11,4,347,4,12,YT343,S01228451461,2021-10-31T19:08:54Z,2021-11-01T05:22:13Z,SZLU9369076-5,L,3R,19,6,2,367,115
970,35.0959702,129.0951691,11,4,346,4,12,YT343,S01228451461,2021-10-31T19:08:55Z,2021-11-01T05:22:15Z,SZLU9369076-5,L,3R,19,6,2,367,115
1211,35.0959816,129.0951691,11,4,347,4,12,YT343,S01228451461,2021-10-31T19:08:56Z,2021-11-01T05:22:16Z,SZLU9369076-5,L,3R,19,6,2,367,115
1409,35.095993,129.0951691,11,4,350,4,12,YT343,S01228451461,2021-10-31T19:08:57Z,2021-11-01T05:22:17Z,SZLU9369076-5,L,3R,19,6,2,367,116
1687,35.0960045,129.0951538,11,4,348,4,12,YT343,S01228451461,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,SZLU9369076-5,L,3R,19,6,2,367,116
1924,35.0960159,129.0951538,11,4,351,4,12,YT343,S01228451461,2021-10-31T19:08:59Z,2021-11-01T05:22:21Z,SZLU9369076-5,L,3R,19,6,2,367,116
2141,35.0960274,129.0951538,11,4,351,4,12,YT343,S01228451461,2021-10-31T19:09:00Z,2021-11-01T05:22:22Z,SZLU9369076-5,L,3R,19,6,2,367,117
2356,35.0960388,129.0951538,11,4,349,4,12,YT343,S01228451461,2021-10-31T19:09:01Z,2021-11-01T05:22:23Z,SZLU9369076-5,L,3R,19,6,2,367,117
2625,35.0960503,129.0951538,11,4,352,4,12,YT343,S01228451461,2021-10-31T19:09:02Z,2021-11-01T05:22:24Z,SZLU9369076-5,L,3R,19,6,2,367,117
2860,35.0960617,129.0951538,11,3,350,4,12,YT343,S01228451461,2021-10-31T19:09:03Z,2021-11-01T05:22:26Z,SZLU9369076-5,L,3R,19,6,2,367,117
