0,1,2,3,4
0.030028995,0.09471421,0.23685205,0.29558122,0.3428235
0.11486549,0.17918831,0.20042491,0.22817995,0.27734137
0.13850132,0.15646128,0.18589488,0.23324937,0.28589323
0.14024326,0.16042838,0.20104904,0.25090742,0.24737191
0.1455925,0.17535274,0.22473808,0.23052497,0.22379178
0.15730932,0.19393855,0.20432915,0.20446815,0.23995481
0.17020331,0.17732455,0.18077232,0.21751893,0.2541809
0.17165853,0.16693373,0.19994362,0.23859294,0.22287121
0.16781767,0.18503092,0.21679434,0.20701739,0.22333968
0.19227557,0.20401019,0.19299884,0.20809117,0.20262422
0.2021117,0.18756723,0.20232625,0.20081589,0.20717892
0.19106045,0.18783973,0.18480723,0.1932598,0.24303284
0.1982522,0.17845881,0.18203692,0.22810681,0.21314526
0.16956343,0.15824167,0.19700097,0.1887412,0.2864527
0.14053054,0.16049568,0.15879573,0.23890159,0.30127642
0.15552928,0.14898871,0.21718183,0.28103742,0.1972628
0.13906898,0.17439015,0.24728078,0.18746331,0.25179678
0.1327508,0.19761229,0.15943801,0.20676908,0.30342984
0.13723505,0.11946827,0.15653801,0.23507912,0.35167953
0.0979512,0.11457304,0.17558168,0.2757521,0.33614197
0.10531123,0.14098328,0.21365759,0.2635025,0.2765454
0.11277263,0.16066022,0.2078283,0.2278074,0.2909314
0.12666267,0.168436,0.19530796,0.2630064,0.24658696
0.13233466,0.15989232,0.2339021,0.23844422,0.2354267
0.12846974,0.19403274,0.2145417,0.22359382,0.23936206
0.1483873,0.18063831,0.20606567,0.23285177,0.2320569
0.14582194,0.18253872,0.22462326,0.24100569,0.20601033
0.17117186,0.20392449,0.22063199,0.19373001,0.21054167
0.18385194,0.20140076,0.18186463,0.2039277,0.22895487
0.19703682,0.17131513,0.18818946,0.21344213,0.23001647
0.18642025,0.1778542,0.19084327,0.20889899,0.23598328
0.20444015,0.17649904,0.17858519,0.20349859,0.23697701
0.20518336,0.16668521,0.1737718,0.20261846,0.25174117
0.19930156,0.16599192,0.1755898,0.21619976,0.242917
0.21013415,0.17147918,0.18903896,0.21237943,0.21696824
0.22162195,0.19072057,0.19502723,0.19798477,0.19464548
0.23978457,0.1932505,0.17765681,0.17400236,0.21530575
0.23530781,0.17493956,0.1563747,0.1939366,0.23944137
0.21840481,0.1526586,0.16928792,0.20546213,0.25418654
0.19492407,0.16632053,0.17780744,0.21393925,0.2470086
0.2143488,0.1750098,0.18463999,0.20814347,0.21785794
0.21906978,0.17945331,0.1821428,0.1903609,0.22897322
0.22184452,0.17582281,0.16535778,0.19657035,0.24040449
0.21879713,0.16223966,0.17356212,0.20885584,0.23654531
0.2039854,0.17098132,0.18314488,0.20555243,0.23633604
0.219537,0.17716464,0.17633902,0.20096426,0.22599502
0.22404839,0.17116328,0.1746762,0.19487987,0.23523225
0.21007374,0.16843309,0.16907924,0.20176706,0.2506469
0.20980364,0.16221918,0.17239799,0.21216513,0.24341407
0.20416956,0.16800082,0.18362577,0.2084391,0.23576476
0.21043013,0.17686261,0.17945157,0.2001946,0.23306102
0.20785409,0.17001134,0.17273812,0.20078507,0.24861139
0.20603263,0.16618207,0.1759471,0.21634649,0.23549172
0.1971587,0.17020513,0.18949087,0.2052354,0.23790985
0.19526184,0.18171804,0.18222149,0.20907733,0.23172134
0.20312566,0.17051823,0.18073626,0.20096163,0.24465825
0.19371895,0.17179792,0.17658669,0.21417034,0.2437261
0.20634453,0.17031844,0.18773034,0.21354358,0.2220632
0.20232828,0.1823597,0.18928017,0.19521092,0.23082091
0.2155496,0.18250391,0.17167903,0.20119427,0.22907321
0.22217901,0.16914858,0.17788516,0.1997611,0.23102622
0.21293984,0.17634797,0.17735241,0.20212507,0.23123474
0.22342762,0.17488925,0.17765422,0.20068161,0.22334732
0.22231504,0.17795637,0.18071096,0.19847366,0.22054397
0.221629,0.17909104,0.17648254,0.19388963,0.22890784
0.22645415,0.17431489,0.16920236,0.19540493,0.2346236
0.22820243,0.17155452,0.17508878,0.20757242,0.21758194
0.22659837,0.17843218,0.18681139,0.19225785,0.21590023
0.229522,0.18502328,0.16924243,0.18738428,0.228828
0.2421181,0.1713085,0.1665495,0.19971994,0.22030394
0.2314804,0.1709449,0.17867957,0.192424,0.22647113
0.22834465,0.17868349,0.16792269,0.19487864,0.2301706
0.23385239,0.17004843,0.17546989,0.20482995,0.21579933
0.22262828,0.1779066,0.1821654,0.18804222,0.22925757
0.2260475,0.18191853,0.16627617,0.19904694,0.22671093
0.23203397,0.16314141,0.17106523,0.19294478,0.24081463
0.21060936,0.1735928,0.17204909,0.21167299,0.2320758
0.2196762,0.170009,0.18395881,0.19852741,0.22782855
0.20962977,0.1836517,0.18016043,0.20449033,0.2220677
