reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
34,35.1085625,129.0977631,11,19,177,4,12,YT341,S01228451394,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,BEAU5135407-15,U,3K,24,2,2,414,410
129,35.108551,129.0977631,11,19,179,4,12,YT341,S01228451394,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,BEAU5135407-15,U,3K,24,2,2,414,410
333,35.1085014,129.0977631,11,18,178,4,12,YT341,S01228451394,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,BEAU5135407-15,U,3K,24,2,2,414,409
628,35.1084404,129.0977631,11,18,177,4,12,YT341,S01228451394,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,BEAU5135407-15,U,3K,24,2,2,414,407
789,35.1084023,129.0977631,11,18,177,4,12,YT341,S01228451394,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,BEAU5135407-15,U,3K,24,2,2,414,406
1040,35.1083565,129.0977631,11,18,175,4,12,YT341,S01228451394,2021-10-31T19:08:55Z,2021-11-01T05:22:15Z,BEAU5135407-15,U,3K,24,2,2,414,405
1222,35.1083183,129.0977783,11,19,176,4,12,YT341,S01228451394,2021-10-31T19:08:56Z,2021-11-01T05:22:16Z,BEAU5135407-15,U,3K,24,2,2,414,404
1491,35.1082687,129.0977783,11,19,176,4,12,YT341,S01228451394,2021-10-31T19:08:57Z,2021-11-01T05:22:18Z,BEAU5135407-15,U,3K,24,2,2,414,403
1698,35.1082191,129.0977783,11,19,175,4,12,YT341,S01228451394,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,BEAU5135407-15,U,3K,24,2,2,414,402
1969,35.1081734,129.0977783,11,18,175,4,12,YT341,S01228451394,2021-10-31T19:08:59Z,2021-11-01T05:22:21Z,BEAU5135407-15,U,3K,24,2,2,414,401
2223,35.1081238,129.0977936,11,19,175,4,12,YT341,S01228451394,2021-10-31T19:09:00Z,2021-11-01T05:22:22Z,BEAU5135407-15,U,3K,24,2,2,414,400
2439,35.108078,129.0977936,11,18,176,4,12,YT341,S01228451394,2021-10-31T19:09:01Z,2021-11-01T05:22:23Z,BEAU5135407-15,U,3K,24,2,2,414,399
2683,35.1080322,129.0977936,11,17,176,4,12,YT341,S01228451394,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,BEAU5135407-15,U,3K,24,2,2,414,398
2909,35.1079788,129.0977936,11,17,175,4,12,YT341,S01228451394,2021-10-31T19:09:03Z,2021-11-01T05:22:26Z,BEAU5135407-15,U,3K,24,2,2,414,396
3082,35.1079445,129.0978088,11,18,176,4,12,YT341,S01228451394,2021-10-31T19:09:04Z,2021-11-01T05:22:27Z,BEAU5135407-15,U,3K,24,2,2,415,396
3388,35.1078911,129.0978088,11,17,175,4,12,YT341,S01228451394,2021-10-31T19:09:05Z,2021-11-01T05:22:28Z,BEAU5135407-15,U,3K,24,2,2,415,394
3588,35.1078568,129.0978088,11,17,174,4,12,YT341,S01228451394,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,BEAU5135407-15,U,3K,24,2,2,415,394
3812,35.107811,129.0978088,11,16,173,4,12,YT341,S01228451394,2021-10-31T19:09:07Z,2021-11-01T05:22:31Z,BEAU5135407-15,U,3K,24,2,2,415,392
4067,35.107769,129.0978241,11,16,174,4,12,YT341,S01228451394,2021-10-31T19:09:08Z,2021-11-01T05:22:32Z,BEAU5135407-15,U,3K,24,2,2,415,392
