reg_seq,latitude,longitude,altitude,velocity,direction,position_fix,satelites,equ_no,dev_id,evnt_dt,cre_dt,cntr_dup,wk_id,y_blk,y_bay,y_row,y_tier,long_cut,latt_cut
2,35.1015625,129.0964508,11,8,176,2,12,YT301,S01228446514,2021-10-31T19:08:50Z,2021-11-01T05:22:09Z,SKLU3519199-15,U,6E,15,5,4,390,246
185,35.1015472,129.0964508,11,7,174,2,12,YT301,S01228446514,2021-10-31T19:08:51Z,2021-11-01T05:22:10Z,SKLU3519199-15,U,6E,15,5,4,390,246
412,35.1015244,129.0964508,11,7,175,2,12,YT301,S01228446514,2021-10-31T19:08:52Z,2021-11-01T05:22:11Z,SKLU3519199-15,U,6E,15,5,4,390,245
608,35.1015091,129.0964508,11,6,174,5,12,YT301,S01228446514,2021-10-31T19:08:53Z,2021-11-01T05:22:13Z,SKLU3519199-15,U,6E,15,5,4,390,245
824,35.1014938,129.0964661,11,6,178,5,12,YT301,S01228446514,2021-10-31T19:08:54Z,2021-11-01T05:22:14Z,SKLU3519199-15,U,6E,15,5,4,391,245
1140,35.1014748,129.0964661,11,6,177,4,12,YT301,S01228446514,2021-10-31T19:08:55Z,2021-11-01T05:22:16Z,SKLU3519199-15,U,6E,15,5,4,391,244
1296,35.1014557,129.0964661,11,6,175,2,12,YT301,S01228446514,2021-10-31T19:08:56Z,2021-11-01T05:22:17Z,SKLU3519199-15,U,6E,15,5,4,391,244
1544,35.1014404,129.0964661,11,6,176,5,12,YT301,S01228446514,2021-10-31T19:08:57Z,2021-11-01T05:22:18Z,SKLU3519199-15,U,6E,15,5,4,391,243
1848,35.1014214,129.0964661,11,6,174,5,12,YT301,S01228446514,2021-10-31T19:08:58Z,2021-11-01T05:22:20Z,SKLU3519199-15,U,6E,15,5,4,391,243
2061,35.1014061,129.0964661,11,6,177,5,12,YT301,S01228446514,2021-10-31T19:08:59Z,2021-11-01T05:22:21Z,SKLU3519199-15,U,6E,15,5,4,391,243
2311,35.1013908,129.0964661,11,6,175,5,12,YT301,S01228446514,2021-10-31T19:09:00Z,2021-11-01T05:22:23Z,SKLU3519199-15,U,6E,15,5,4,391,242
2512,35.1013756,129.0964813,11,6,173,5,12,YT301,S01228446514,2021-10-31T19:09:01Z,2021-11-01T05:22:24Z,SKLU3519199-15,U,6E,15,5,4,391,242
2708,35.1013565,129.0964813,11,6,180,2,12,YT301,S01228446514,2021-10-31T19:09:02Z,2021-11-01T05:22:25Z,SKLU3519199-15,U,6E,15,5,4,391,241
3019,35.1013374,129.0964813,11,6,175,5,12,YT301,S01228446514,2021-10-31T19:09:03Z,2021-11-01T05:22:27Z,SKLU3519199-15,U,6E,15,5,4,391,241
3193,35.101326,129.0964813,11,5,171,5,12,YT301,S01228446514,2021-10-31T19:09:04Z,2021-11-01T05:22:27Z,SKLU3519199-15,U,6E,15,5,4,391,241
3404,35.1013107,129.0964813,11,6,172,5,12,YT301,S01228446514,2021-10-31T19:09:05Z,2021-11-01T05:22:29Z,SKLU3519199-15,U,6E,15,5,4,391,240
3721,35.1012917,129.0964813,11,6,179,5,12,YT301,S01228446514,2021-10-31T19:09:06Z,2021-11-01T05:22:30Z,SKLU3519199-15,U,6E,15,5,4,391,240
3961,35.1012764,129.0964813,11,6,175,5,12,YT301,S01228446514,2021-10-31T19:09:07Z,2021-11-01T05:22:31Z,SKLU3519199-15,U,6E,15,5,4,391,239
4215,35.1012611,129.0964813,12,6,180,5,12,YT301,S01228446514,2021-10-31T19:09:08Z,2021-11-01T05:22:33Z,SKLU3519199-15,U,6E,15,5,4,391,239
4459,35.1012421,129.0964813,12,6,174,5,12,YT301,S01228446514,2021-10-31T19:09:09Z,2021-11-01T05:22:52Z,SKLU3519199-15,U,6E,15,5,4,391,239
4705,35.1012306,129.0964813,12,6,175,5,12,YT301,S01228446514,2021-10-31T19:09:10Z,2021-11-01T05:22:53Z,SKLU3519199-15,U,6E,15,5,4,391,238
4944,35.1012115,129.0964813,12,6,173,5,12,YT301,S01228446514,2021-10-31T19:09:11Z,2021-11-01T05:22:55Z,SKLU3519199-15,U,6E,15,5,4,391,238
5126,35.1012001,129.0964966,12,5,175,5,12,YT301,S01228446514,2021-10-31T19:09:12Z,2021-11-01T05:22:56Z,SKLU3519199-15,U,6E,15,5,4,391,238
5344,35.1011848,129.0964966,12,5,172,5,12,YT301,S01228446514,2021-10-31T19:09:13Z,2021-11-01T05:22:57Z,SKLU3519199-15,U,6E,15,5,4,391,237
5668,35.1011696,129.0964966,12,4,174,5,12,YT301,S01228446514,2021-10-31T19:09:14Z,2021-11-01T05:22:59Z,SKLU3519199-15,U,6E,15,5,4,391,237
5888,35.1011581,129.0964966,11,4,177,4,12,YT301,S01228446514,2021-10-31T19:09:15Z,2021-11-01T05:23:00Z,SKLU3519199-15,U,6E,15,5,4,391,237
6116,35.1011429,129.0964966,11,4,179,4,12,YT301,S01228446514,2021-10-31T19:09:16Z,2021-11-01T05:23:02Z,SKLU3519199-15,U,6E,15,5,4,391,236
6364,35.1011353,129.0964966,11,4,173,4,12,YT301,S01228446514,2021-10-31T19:09:17Z,2021-11-01T05:23:03Z,SKLU3519199-15,U,6E,15,5,4,391,236
6632,35.1011238,129.0964966,11,3,186,4,12,YT301,S01228446514,2021-10-31T19:09:18Z,2021-11-01T05:23:04Z,SKLU3519199-15,U,6E,15,5,4,391,236
6842,35.1011124,129.0964966,11,3,172,4,12,YT301,S01228446514,2021-10-31T19:09:19Z,2021-11-01T05:23:05Z,SKLU3519199-15,U,6E,15,5,4,391,236
7109,35.1011047,129.0964966,11,2,173,4,12,YT301,S01228446514,2021-10-31T19:09:20Z,2021-11-01T05:23:07Z,SKLU3519199-15,U,6E,15,5,4,391,235
